Day,Date,Time,PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI
Monday,08-08-2022,22:00:00,43,100,52,5,15,67,46,82
Monday,08-08-2022,23:00:00,,,,,,,,72
Tuesday,09-08-2022,00:00:00,35,96,48,4,14,32,17,74
Tuesday,09-08-2022,01:00:00,23,52,46,4,11,20,,75
Tuesday,09-08-2022,02:00:00,17,58,52,3,,,10,77
Tuesday,09-08-2022,03:00:00,8,6,48,4,5,30,10,
Tuesday,09-08-2022,04:00:00,,47,46,5,14,30,13,
Tuesday,09-08-2022,05:00:00,,63,46,5,16,30,13,
Tuesday,09-08-2022,06:00:00,,,,,,,,
Tuesday,09-08-2022,07:00:00,150,118,42,4,22,45,60,
Tuesday,09-08-2022,08:00:00,38,92,46,4,15,43,43,
Tuesday,09-08-2022,09:00:00,43,85,52,3,13,47,67,
Tuesday,09-08-2022,10:00:00,67,92,60,3,8,42,108,
Tuesday,09-08-2022,11:00:00,,,,,,,,
Tuesday,09-08-2022,12:00:00,,,,,,,,
Tuesday,09-08-2022,13:00:00,68,91,57,4,13,27,115,
Tuesday,09-08-2022,14:00:00,70,88,56,4,16,32,120,
Tuesday,09-08-2022,15:00:00,,,,,,,,
Tuesday,09-08-2022,16:00:00,,,,,,,,
Tuesday,09-08-2022,17:00:00,,,,,,,,
Tuesday,09-08-2022,18:00:00,43,69,51,3,15,55,78,
Tuesday,09-08-2022,19:00:00,37,50,57,4,11,55,15,
Tuesday,09-08-2022,20:00:00,,,,,,,,
Tuesday,09-08-2022,21:00:00,33,69,51,4,16,68,,
Tuesday,09-08-2022,22:00:00,43,77,48,5,18,85,33,
Tuesday,09-08-2022,23:00:00,187,109,39,4,24,78,14,
Wednesday,10-08-2022,00:00:00,107,103,37,2,20,60,,51
Wednesday,10-08-2022,01:00:00,40,92,35,2,19,47,,50
Wednesday,10-08-2022,02:00:00,50,68,39,3,15,50,,51
Wednesday,10-08-2022,03:00:00,,67,37,3,9,46,27,52
Wednesday,10-08-2022,04:00:00,38,58,36,2,10,39,24,53
Wednesday,10-08-2022,05:00:00,43,64,36,2,10,24,26,53
Wednesday,10-08-2022,06:00:00,48,80,37,3,10,48,19,53
Wednesday,10-08-2022,07:00:00,52,70,34,3,9,48,18,54
Wednesday,10-08-2022,08:00:00,47,55,36,2,19,48,13,56
Wednesday,10-08-2022,09:00:00,45,70,41,2,15,52,29,56
Wednesday,10-08-2022,10:00:00,35,85,54,3,12,60,23,52
Wednesday,10-08-2022,11:00:00,,51,60,3,10,53,25,52
Wednesday,10-08-2022,12:00:00,,,,,,,,
Wednesday,10-08-2022,13:00:00,,,,,,,,
Wednesday,10-08-2022,14:00:00,18,48,54,2,15,25,62,
Wednesday,10-08-2022,15:00:00,,,,,,,,
Wednesday,10-08-2022,16:00:00,43,77,50,2,16,20,76,
Wednesday,10-08-2022,17:00:00,,,,,,,,
Wednesday,10-08-2022,18:00:00,13,45,57,2,11,33,81,
Wednesday,10-08-2022,19:00:00,,,,,,,,
Wednesday,10-08-2022,20:00:00,,55,68,3,10,50,22,54
Wednesday,10-08-2022,21:00:00,17,64,68,3,13,45,28,55
Wednesday,10-08-2022,22:00:00,30,59,62,2,17,48,29,55
Wednesday,10-08-2022,23:00:00,57,69,56,2,18,38,29,57
Thursday,11-08-2022,00:00:00,,,,,,,,59
Thursday,11-08-2022,01:00:00,23,73,9,9,4,48,12,
Thursday,11-08-2022,02:00:00,,,,,,,,
Thursday,11-08-2022,03:00:00,20,40,,,,,,
Thursday,11-08-2022,04:00:00,15,44,12,11,4,,,
Thursday,11-08-2022,05:00:00,12,30,9,10,5,,,
Thursday,11-08-2022,06:00:00,13,36,6,9,5,66,,61
Thursday,11-08-2022,07:00:00,20,40,4,9,3,61,,59
Thursday,11-08-2022,08:00:00,,,,,,,,
Thursday,11-08-2022,09:00:00,,,,,,,,
Thursday,11-08-2022,10:00:00,18,44,3,12,3,,,
Thursday,11-08-2022,11:00:00,18,41,5,13,4,55,,
Thursday,11-08-2022,12:00:00,,,,,,,,
Thursday,11-08-2022,13:00:00,,,,,,,,
Thursday,11-08-2022,14:00:00,,,,,,,,
Thursday,11-08-2022,15:00:00,23,34,12,9,8,,,59
Thursday,11-08-2022,16:00:00,27,42,10,9,6,52,,61
Thursday,11-08-2022,17:00:00,20,47,8,10,5,52,,62
Thursday,11-08-2022,18:00:00,18,47,17,12,5,52,,60
Thursday,11-08-2022,19:00:00,18,66,11,14,4,52,,57
Thursday,11-08-2022,20:00:00,15,63,13,11,4,51,,54
Thursday,11-08-2022,21:00:00,23,70,15,10,3,49,,54
Thursday,11-08-2022,22:00:00,32,72,15,9,2,50,,53
Thursday,11-08-2022,23:00:00,22,69,14,9,2,50,,53
Friday,12-08-2022,00:00:00,33,64,12,9,2,45,6,51
Friday,12-08-2022,01:00:00,27,56,15,10,2,45,4,50
Friday,12-08-2022,02:00:00,33,64,14,12,2,45,,51
Friday,12-08-2022,03:00:00,45,66,,,,,6,50
Friday,12-08-2022,04:00:00,45,62,10,11,3,45,5,52
Friday,12-08-2022,05:00:00,78,79,12,10,4,43,4,53
Friday,12-08-2022,06:00:00,40,59,81,6,18,20,40,52
Friday,12-08-2022,07:00:00,44,55,28,9,40,22,7,53
Friday,12-08-2022,08:00:00,36,52,29,9,39,21,7,52
Friday,12-08-2022,09:00:00,40,52,30,9,37,31,8,53
Friday,12-08-2022,10:00:00,36,51,30,9,35,30,8,53
Friday,12-08-2022,11:00:00,34,51,34,9,40,34,7,54
Friday,12-08-2022,12:00:00,36,51,34,9,45,35,8,54
Friday,12-08-2022,13:00:00,36,49,37,9,,,,54
Friday,12-08-2022,14:00:00,34,45,30,9,3,23,,54
Friday,12-08-2022,15:00:00,31,49,50,,4,27,5,53
Friday,12-08-2022,16:00:00,32,50,21,32,4,26,4,53
Friday,12-08-2022,17:00:00,34,43,20,17,5,28,5,53
Friday,12-08-2022,18:00:00,39,46,13,11,5,19,5,58
Friday,12-08-2022,19:00:00,39,45,18,17,6,78,5,68
Friday,12-08-2022,20:00:00,22,55,14,11,4,43,12,60
Friday,12-08-2022,21:00:00,20,53,20,10,4,55,12,62
Friday,12-08-2022,22:00:00,30,81,19,9,4,52,6,63
Friday,12-08-2022,23:00:00,32,61,16,8,6,43,8,60
Friday,12-08-2022,00:00:00,,30,40,,4,50,42,
Saturday,08-13-2022,01:00:00,,23,39,,11,27,43,
Saturday,08-13-2022,02:00:00,,24,37,,11,28,,
Saturday,08-13-2022,03:00:00,15,36,61,,,,51,
Saturday,08-13-2022,04:00:00,25,44,72,,,28,46,
Saturday,08-13-2022,05:00:00,30,44,,,,,54,
Saturday,08-13-2022,06:00:00,38,48,,,,,44,
Saturday,08-13-2022,07:00:00,37,47,22,,,,30,
Saturday,08-13-2022,08:00:00,12,41,42,,8,53,37,
Saturday,08-13-2022,09:00:00,17,39,38,,12,32,35,
Saturday,08-13-2022,10:00:00,28,62,40,,12,30,44,
Saturday,08-13-2022,11:00:00,25,50,48,,14,33,61,46
Saturday,08-13-2022,12:00:00,32,58,45,12,14,30,72,47
Saturday,08-13-2022,13:00:00,28,40,35,4,15,33,73,50
Saturday,08-13-2022,14:00:00,17,53,39,4,16,33,77,53
Saturday,08-13-2022,15:00:00,27,50,34,5,17,32,74,56
Saturday,08-13-2022,16:00:00,30,40,38,5,18,28,83,62
Saturday,08-13-2022,17:00:00,13,35,29,4,14,30,95,68
Saturday,08-13-2022,18:00:00,18,39,36,3,12,35,79,72
Saturday,08-13-2022,19:00:00,22,50,45,3,11,40,58,73
Saturday,08-13-2022,20:00:00,35,57,50,2,14,48,40,75
Saturday,08-13-2022,21:00:00,25,30,54,2,13,57,24,72
Saturday,08-13-2022,22:00:00,38,63,54,2,15,60,12,67
Saturday,08-13-2022,23:00:00,40,73,48,2,15,60,11,53
Sunday,08-14-2022,00:00:00,38,74,44,2,16,65,11,47
Sunday,08-14-2022,01:00:00,28,59,42,2,14,50,11,49
Sunday,08-14-2022,02:00:00,30,56,38,2,13,48,,51
Sunday,08-14-2022,03:00:00,33,52,41,2,,,9,54
Sunday,08-14-2022,04:00:00,22,45,38,2,14,30,11,52
Sunday,08-14-2022,05:00:00,18,35,42,2,15,25,11,50
Sunday,08-14-2022,06:00:00,15,36,41,2,14,20,14,49
Sunday,08-14-2022,07:00:00,15,34,39,2,15,27,21,49
Sunday,08-14-2022,08:00:00,10,22,40,2,14,25,23,48
Sunday,08-14-2022,09:00:00,10,34,42,2,14,25,30,48
Sunday,08-14-2022,10:00:00,13,46,44,2,13,25,40,47
Sunday,08-14-2022,11:00:00,15,41,47,2,13,30,65,47
Sunday,08-14-2022,12:00:00,15,48,49,3,14,30,74,47
Sunday,08-14-2022,13:00:00,50,111,52,6,,28,96,46
Sunday,08-14-2022,14:00:00,53,84,,,,22,88,49
Sunday,08-14-2022,15:00:00,58,58,,,,,71,
Sunday,08-14-2022,16:00:00,,,,,,,,
Sunday,08-14-2022,17:00:00,28,38,15,8,8,30,24,66
Sunday,08-14-2022,18:00:00,51,39,16,11,17,34,42,65
Sunday,08-14-2022,19:00:00,49,41,17,10,24,36,42,64
Sunday,08-14-2022,20:00:00,46,44,14,9,18,37,41,63
Sunday,08-14-2022,21:00:00,40,51,16,9,17,47,41,63
Sunday,08-14-2022,22:00:00,71,76,15,10,16,50,42,63
Sunday,08-14-2022,23:00:00,67,66,14,9,11,53,41,63
Monday,08-15-2022,00:00:00,56,62,17,8,9,56,41,60
Monday,08-15-2022,01:00:00,58,59,17,9,15,47,41,59
Monday,08-15-2022,02:00:00,57,59,15,6,21,40,42,58
Monday,08-15-2022,03:00:00,70,63,12,11,20,34,42,58
Monday,08-15-2022,04:00:00,66,58,10,9,,28,42,58
Monday,08-15-2022,05:00:00,61,51,10,8,3,22,42,58
Monday,08-15-2022,06:00:00,37,36,14,9,2,17,42,58
Monday,08-15-2022,07:00:00,26,26,15,10,10,19,46,58
Monday,08-15-2022,08:00:00,21,27,14,7,14,17,44,57
Monday,08-15-2022,09:00:00,26,32,14,10,15,15,42,57
Monday,08-15-2022,10:00:00,,,,,,,,58
Monday,08-15-2022,11:00:00,34,41,16,15,15,15,42,57
Monday,08-15-2022,12:00:00,29,37,16,7,20,18,40,55
Monday,08-15-2022,13:00:00,26,34,16,7,17,17,42,52
Monday,08-15-2022,14:00:00,24,28,16,8,16,23,41,48
Monday,08-15-2022,15:00:00,21,29,14,10,16,25,42,47
Monday,08-15-2022,16:00:00,27,33,16,9,8,19,41,46
Monday,08-15-2022,17:00:00,31,32,17,13,12,16,42,46
Monday,08-15-2022,18:00:00,19,25,13,18,13,16,42,45
Monday,08-15-2022,19:00:00,22,17,11,9,12,20,41,44
Monday,08-15-2022,20:00:00,31,29,16,9,11,26,42,43
Monday,08-15-2022,21:00:00,57,52,12,10,13,52,42,42
Monday,08-15-2022,22:00:00,109,92,14,8,19,56,40,43
Monday,08-15-2022,23:00:00,113,102,17,6,19,59,36,45
Tuesday,08-16-2022,00:00:00,59,70,13,8,20,49,43,45
Tuesday,08-16-2022,01:00:00,41,52,14,10,16,38,42,45
Tuesday,08-16-2022,02:00:00,46,44,12,9,13,30,41,44
Tuesday,08-16-2022,03:00:00,39,41,15,12,12,22,42,42
Tuesday,08-16-2022,04:00:00,42,44,14,9,12,17,42,42
Tuesday,08-16-2022,05:00:00,26,32,14,9,21,12,42,41
Tuesday,08-16-2022,06:00:00,28,32,16,7,26,11,41,42
Tuesday,08-16-2022,07:00:00,32,35,10,7,22,12,41,42
Tuesday,08-16-2022,08:00:00,33,39,16,10,19,14,39,42
Tuesday,08-16-2022,09:00:00,34,44,17,9,26,19,43,43
Tuesday,08-16-2022,10:00:00,31,48,18,12,35,25,45,43
Tuesday,08-16-2022,11:00:00,32,54,18,13,24,26,52,44
Tuesday,08-16-2022,12:00:00,33,56,17,7,16,26,43,42
Tuesday,08-16-2022,13:00:00,33,58,16,11,11,,42,45
Tuesday,08-16-2022,14:00:00,,,71,27,14,62,24,43
Tuesday,08-16-2022,15:00:00,,75,32,8,17,45,39,44
Tuesday,08-16-2022,16:00:00,10,47,30,7,18,12,42,46
Tuesday,08-16-2022,17:00:00,7,50,35,7,13,32,35,46
Tuesday,08-16-2022,18:00:00,,6,41,7,11,38,19,44
Tuesday,08-16-2022,19:00:00,,22,43,7,12,32,15,42
Tuesday,08-16-2022,20:00:00,,31,46,6,12,35,14,42
Tuesday,08-16-2022,21:00:00,2,39,40,6,16,35,21,41
Tuesday,08-16-2022,22:00:00,,,36,5,16,37,19,43
Tuesday,08-16-2022,23:00:00,10,42,35,4,18,33,21,45
Wednesday,08-16-2022,00:00:00,10,41,37,4,13,30,25,45
Wednesday,08-17-2022,01:00:00,10,,41,5,14,35,29,44
Wednesday,08-17-2022,02:00:00,9,22,46,6,13,32,,44
Wednesday,08-17-2022,03:00:00,2,18,40,5,,,27,44
Wednesday,08-17-2022,04:00:00,,20,46,5,12,30,24,45
Wednesday,08-17-2022,05:00:00,3,,41,5,13,27,29,47
Wednesday,08-17-2022,06:00:00,7,40,35,4,13,27,25,46
Wednesday,08-17-2022,07:00:00,,38,35,4,13,28,21,42
Wednesday,08-17-2022,08:00:00,5,38,34,4,13,32,24,43
Wednesday,08-17-2022,09:00:00,,25,43,4,14,43,20,
Wednesday,08-17-2022,10:00:00,8,45,51,4,13,40,24,41
Wednesday,08-17-2022,11:00:00,10,39,53,5,13,37,32,41
Wednesday,08-17-2022,12:00:00,,40,55,4,13,35,44,42
Wednesday,08-17-2022,13:00:00,,,52,4,14,28,50,42
Wednesday,08-17-2022,14:00:00,27,68,47,3,15,28,55,41
Wednesday,08-17-2022,15:00:00,,52,49,4,15,33,55,44
Wednesday,08-17-2022,16:00:00,10,30,49,4,15,32,57,44
Wednesday,08-17-2022,17:00:00,10,,54,4,13,38,55,47
